PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Download_URL,Download_Status,PDF_Filename,Error_Message
39695227,Lithocholic acid phenocopies anti-ageing effects of calorie restriction,"Qu Q, Chen Y, Wang Y, Long S, Wang W, Yang HY, Li M, Tian X, Wei X, Liu YH, Xu S, Zhang C, Zhu M, Lam SM, Wu J, Yun C, Chen J, Xue S, Zhang B, Zheng ZZ, Piao HL, Jiang C, Guo H, Shui G, Deng X, Zhang CS, Lin SC.",Nature. 2025 Jul;643(8070):192-200. doi: 10.1038/s41586-024-08329-5. Epub 2024 Dec 18.,Qu Q,Nature,2025,2024/12/18,PMC12222012,,10.1038/s41586-024-08329-5,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/8c/de/PMC12222012.tar.gz,Match Found,,
32084459,SIRT1 and aging related signaling pathways,"Chen C, Zhou M, Ge Y, Wang X.",Mech Ageing Dev. 2020 Apr;187:111215. doi: 10.1016/j.mad.2020.111215. Epub 2020 Feb 19.,Chen C,Mech Ageing Dev,2020,2020/2/22,,,10.1016/j.mad.2020.111215,,Success,PMID32084459.pdf,
34421827,A Critical Review of the Evidence That Metformin Is a Putative Anti-Aging Drug That Enhances Healthspan and Extends Lifespan,"Mohammed I, Hollenberg MD, Ding H, Triggle CR.",Front Endocrinol (Lausanne). 2021 Aug 5;12:718942. doi: 10.3389/fendo.2021.718942. eCollection 2021.,Mohammed I,Front Endocrinol (Lausanne),2021,2021/8/23,PMC8374068,,10.3389/fendo.2021.718942,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/5d/7d/PMC8374068.tar.gz,Match Found,,
33360051,The role of curcumin in aging and senescence: Molecular mechanisms,"Zia A, Farkhondeh T, Pourbagher-Shahri AM, Samarghandian S.",Biomed Pharmacother. 2021 Feb;134:111119. doi: 10.1016/j.biopha.2020.111119. Epub 2020 Dec 24.,Zia A,Biomed Pharmacother,2021,2020/12/28,,,10.1016/j.biopha.2020.111119,,Success,PMID33360051.pdf,
37004845,Glycine and aging: Evidence and mechanisms,"Johnson AA, Cuellar TL.",Ageing Res Rev. 2023 Jun;87:101922. doi: 10.1016/j.arr.2023.101922. Epub 2023 Mar 31.,Johnson AA,Ageing Res Rev,2023,2023/4/2,,,10.1016/j.arr.2023.101922,,Failed,,No download link found: 10.1016/j.arr.2023.101922
31204283,Extracellular Vesicle-Contained eNAMPT Delays Aging and Extends Lifespan in Mice,"Yoshida M, Satoh A, Lin JB, Mills KF, Sasaki Y, Rensing N, Wong M, Apte RS, Imai SI.",Cell Metab. 2019 Aug 6;30(2):329-342.e5. doi: 10.1016/j.cmet.2019.05.015. Epub 2019 Jun 13.,Yoshida M,Cell Metab,2019,2019/6/18,PMC6687560,NIHMS1530222,10.1016/j.cmet.2019.05.015,,Success,PMID31204283.pdf,
34885907,Bioactive Phytochemicals with Anti-Aging and Lifespan Extending Potentials in Caenorhabditis elegans,"Okoro NO, Odiba AS, Osadebe PO, Omeje EO, Liao G, Fang W, Jin C, Wang B.",Molecules. 2021 Dec 2;26(23):7323. doi: 10.3390/molecules26237323.,Okoro NO,Molecules,2021,2021/12/10,PMC8658929,,10.3390/molecules26237323,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/3d/75/PMC8658929.tar.gz,Match Found,,
34588695,Circadian autophagy drives iTRF-mediated longevity,"Ulgherait M, Midoun AM, Park SJ, Gatto JA, Tener SJ, Siewert J, Klickstein N, Canman JC, Ja WW, Shirasu-Hiza M.",Nature. 2021 Oct;598(7880):353-358. doi: 10.1038/s41586-021-03934-0. Epub 2021 Sep 29.,Ulgherait M,Nature,2021,2021/9/30,PMC9395244,NIHMS1819528,10.1038/s41586-021-03934-0,,Success,PMID34588695.pdf,
38686927,Doxycycline decelerates aging in progeria mice,"Wang M, Zhang J, Qiu J, Ma X, Xu C, Wu Q, Xing S, Chen X, Liu B.",Aging Cell. 2024 Jul;23(7):e14188. doi: 10.1111/acel.14188. Epub 2024 Apr 30.,Wang M,Aging Cell,2024,2024/4/30,PMC11258430,,10.1111/acel.14188,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/72/af/PMC11258430.tar.gz,Match Found,,
40128218,High-content screening identifies ganoderic acid A as a senotherapeutic to prevent cellular senescence and extend healthspan in preclinical models,"Chen L, Wu B, Mo L, Chen H, Yin X, Zhao Y, Cui Z, Cui F, Chen L, Deng Q, Gao C, Yao P, Li Y, Tang Y.",Nat Commun. 2025 Mar 24;16(1):2878. doi: 10.1038/s41467-025-58188-5.,Chen L,Nat Commun,2025,2025/3/25,PMC11933296,,10.1038/s41467-025-58188-5,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/38/e0/PMC11933296.tar.gz,Match Found,,
26444965,Healthspan Pharmacology,Jafari M.,Rejuvenation Res. 2015 Dec;18(6):573-80. doi: 10.1089/rej.2015.1774. Epub 2015 Nov 10.,Jafari M,Rejuvenation Res,2015,2015/10/8,PMC4685493,,10.1089/rej.2015.1774,,Success,PMID26444965.pdf,
