"Name","smiles","Total.Molweight","Molweight","Monoisotopic.Mass","cLogP","cLogS","H.Acceptors","H.Donors","Total.Surface.Area","Relative.PSA","Polar.Surface.Area","Druglikeness","Mutagenic","Tumorigenic","Reproductive.Effective","Irritant","Shape.Index","Molecular.Flexibility","Molecular.Complexity","Fragments","Non.H.Atoms","Non.C.H.Atoms","Metal.Atoms","Electronegative.Atoms","Stereo.Centers","Rotatable.Bonds","Rings.Closures","Small.Rings","Aromatic.Rings","Aromatic.Atoms","sp3.Atoms","Symmetric.atoms","Amides","Amines","Alkyl.Amines","Aromatic.Amines","Aromatic.Nitrogens","Basic.Nitrogens","Acidic.Oxygens","DataSet"
"6,6,9a-trimethyl-1H,3H,5H,5aH,6H,7H,8H,9H,9aH,9bH-naphtho[1,2-c]furan-1,7-diol","OC1OCC2=CCC3C(C)(C)C(O)CCC3(C)C21",252.353,252.353,252.172545,2.03,-2.548,3,2,183.05,0.19776,49.69,-0.81332,"none","none","none","none",0.44444,0.25014,0.84245,1,18,3,0,3,5,0,3,3,0,0,16,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"2-ethyl-4-(hydroxymethyl)-2,3-dihydrofuran-3-one","O=C1C(=COC1CC)CO",142.153,142.153,142.062995,-0.1373,-1.132,3,1,111.09,0.32532,46.53,1.3867,"none","none","none","none",0.7,0.41471,0.73778,1,10,3,0,3,1,2,1,1,0,0,6,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"5-aminopentanamide","O=C(N)CCCCN",116.163,116.163,116.094963,-0.6582,-0.914,3,2,103.33,0.42176,69.11,-7.6139,"none","none","none","none",0.875,0.57552,0.59725,1,8,3,0,3,0,4,0,0,0,0,5,0,1,1,1,0,0,1,0,"NewGeroprotectors"
"1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one","O=C(C(O)=CO)CCSC",162.208,162.208,162.035065,0.0968,-1.469,3,2,125.93,0.45049,82.83,0.11452,"none","none","none","none",0.8,0.75735,0.64124,1,10,4,0,4,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"3-hydroxy-5-methylhexanoic acid","O=C(O)CC(O)CC(C)C",146.185,146.185,146.094295,0.715,-1.3,3,2,120.99,0.32432,57.53,0.76944,"none","none","none","none",0.7,0.78406,0.59947,1,10,3,0,3,1,4,0,0,0,0,8,1,0,0,0,0,0,0,1,"NewGeroprotectors"
"3-[(2-aminoethyl)sulfanyl]-2-methylpropanoic acid","O=C(O)C(C)CSCCN",163.24,163.24,163.066699,-2.0315,-1.065,3,2,129.65,0.4543,88.62,0.85749,"none","none","none","none",0.8,0.87862,0.57565,1,10,4,0,4,1,5,0,0,0,0,8,0,0,1,1,0,0,1,1,"NewGeroprotectors"
"1-Piperideine-2-Carboxylate","O=C(O)C1=NCCCC1",127.142,127.142,127.063329,-0.157,-1.093,3,1,102.11,0.36872,49.66,-2.1715,"none","none","none","none",0.66667,0.32793,0.72259,1,9,3,0,3,0,1,1,1,0,0,5,0,0,0,0,0,0,0,1,"NewGeroprotectors"
"(thiophen-3-yl)methanol","OCC1=CSC=C1",114.168,114.168,114.013935,0.8467,-1.4,1,1,89.31,0.37465,48.47,-0.73342,"none","none","none","none",0.71429,0.35915,0.73241,1,7,2,0,2,0,1,1,1,1,5,2,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"4-sulfanylbutan-2-ol","OC(C)CCS",106.188,106.188,106.045235,0.797,-1.782,1,1,87.99,0.40584,59.03,-11.272,"none","none","none","none",0.83333,0.65206,0.80472,1,6,2,0,2,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"2-methyl-4,5-dihydrofuran-3-thiol","SC1=C(OCC1)C",116.184,116.184,116.029585,1.0704,-2.418,1,0,88.56,0.36822,48.03,-7.4065,"none","none","none","none",0.57143,0,0.8283,1,7,2,0,2,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"thiolane-2-thiol","SC1SCCC1",120.24,120.24,120.00674,1.3529,-2.23,0,0,87.13,0.46023,64.1,-4.3347,"none","none","none","none",0.66667,0,0.64864,1,6,2,0,2,1,0,1,1,0,0,6,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"3-sulfanylbutan-2-ol","OC(C)C(S)C",106.188,106.188,106.045235,0.749,-1.708,1,1,85.23,0.41898,59.03,-6.0576,"none","none","none","none",0.66667,0.75462,0.80472,1,6,2,0,2,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"3-ethylbenzene-1,2-diol","OC1=CC=CC(=C1O)CC",138.165,138.165,138.06808,1.7277,-1.527,2,2,111.98,0.23397,40.46,-2.4802,"none","none","none","none",0.6,0.26123,0.68024,1,10,2,0,2,0,1,1,1,1,6,4,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"2-methylthiolane-3-thiol","SC1CCSC1C",134.266,134.266,134.02239,1.6135,-2.456,0,0,98.13,0.40864,64.1,-1.9349,"none","none","none","none",0.57143,0,0.76753,1,7,2,0,2,2,0,1,1,0,0,7,0,0,0,0,0,0,0,0,"NewGeroprotectors"
