Compound,Life_extended,CAS Number,SMILES
All-trans retinoic acid,20,302-79-4,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
Alpha ketoglutarate,20,328-50-7,C(CC(=O)O)C(=O)C(=O)O
Bromopyruvate,20,1113-59-3,C(C(=O)C(=O)O)Br
Green tea extract,20,84650-60-2,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
Metformin,20,657-24-9,CN(C)C(=N)N=C(N)N
Nordihydroguaiaretic acid,20,500-38-9,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
Propranolol,20,525-66-6,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
Propyl gallate,20,121-79-9,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O
Resveratrol,20,501-36-0,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
Sulforaphane,20,4478-93-7,CS(=O)CCCCN=C=S
Urolithin a,20,1143-70-0,C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O
Alpha lipoic acid,15,1077-28-7,C1CSSC1CCCCC(=O)O
Bromocriptine,15,25614-03-3,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
Coumarin 478,15,41175-45-5,C1CC2=C(C1)C(=O)OC3=C2C=C4CCCN5C4=C3CCC5
Echinatin,15,34221-41-5,COC1=C(C=CC(=C1)O)/C=C/C(=O)C2=CC=C(C=C2)O
Fisetin,15,528-48-3,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
Fluspirilene,15,1841-19-6,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
Sitagliptin,15,486460-32-6,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N
17-Alpha estradiol,10,57-91-0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O
Obeticholic acid,10,459789-99-2,CC[C@@H]1[C@@H]2C[C@@H](CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3[C@@H]1O)CC[C@@H]4[C@H](C)CCC(=O)O)C)C)O
Ritonavir,10,155213-67-5,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
Aloin,10,1415-73-2,C1=CC2=C(C(=C1)O)C(=O)C3=C([C@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C=C(C=C3O)CO
Alpha mangostin,10,6147/11/1,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C
Arecoline,10,63-75-2,CN1CCC=C(C1)C(=O)OC
Aspirin,10,50-78-2,CC(=O)OC1=CC=CC=C1C(=O)O
Bakuchiol,10,10309-37-2,CC(=CCC[C@@](C)(C=C)/C=C/C1=CC=C(C=C1)O)C
Beta GPA,10,353-09-3,C(CN=C(N)N)C(=O)O
