Compound,Life_extended,CAS Number,SMILES,Canonical_SMILES
All-trans retinoic acid,1,302-79-4,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
Alpha ketoglutarate,1,328-50-7,C(CC(=O)O)C(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O
Bromopyruvate,1,1113-59-3,C(C(=O)C(=O)O)Br,O=C(O)C(=O)CBr
Gold sodium thiomalate,1,12244-57-4,C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+],O=C([O-])CC([S-])C(=O)[O-].[Au+].[Na+].[Na+]
Green tea extract,1,84650-60-2,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
Metformin,1,657-24-9,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N
Nordihydroguaiaretic acid,1,500-38-9,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
NP1,1,,C1CN(CCN1CC2=CNC3=CC=CC=C32)C4=CC=C(C=C4)[N+](=O)[O-],O=[N+]([O-])c1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Propranolol,1,525-66-6,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,CC(C)NCC(O)COc1cccc2ccccc12
Propyl gallate,1,121-79-9,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,CCCOC(=O)c1cc(O)c(O)c(O)c1
Resveratrol,1,501-36-0,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
Sulforaphane,1,4478-93-7,CS(=O)CCCCN=C=S,CS(=O)CCCCN=C=S
Thioflavin T,1,2390-54-7,CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C.[Cl-],Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C.[Cl-]
Urolithin a,1,1143-70-0,C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O,O=c1oc2cc(O)ccc2c2ccc(O)cc12
Alpha lipoic acid,1,1077-28-7,C1CSSC1CCCCC(=O)O,O=C(O)CCCCC1CCSS1
Berberine,1,2086-83-1,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
Bromocriptine,1,25614-03-3,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
Coumarin 478,1,41175-45-5,C1CC2=C(C1)C(=O)OC3=C2C=C4CCCN5C4=C3CCC5,O=c1oc2c3c4c(cc2c2c1CCC2)CCCN4CCC3
Echinatin,1,34221-41-5,COC1=C(C=CC(=C1)O)/C=C/C(=O)C2=CC=C(C=C2)O,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1
Fisetin,1,528-48-3,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12
Fluspirilene,1,1841-19-6,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
Rapamycin,1,53123-88-9,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
Sitagliptin,1,486460-32-6,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
