Compound,Life_extended,CAS Number,SMILES,PubChem_Common_Name,PubChem_CID
All-trans retinoic acid,1,302-79-4,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,tretinoin,444795
Alpha ketoglutarate,1,328-50-7,C(CC(=O)O)C(=O)C(=O)O,2-ketoglutaric acid,51
Bromopyruvate,1,1113-59-3,C(C(=O)C(=O)O)Br,3-bromopyruvic acid,70684
Gold sodium thiomalate,1,12244-57-4,C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+],Gold disodium thiomalate,6093241
Green tea extract,1,84650-60-2,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,"Tea, ext.",1287
Metformin,1,657-24-9,CN(C)C(=N)N=C(N)N,metformin,4091
Nordihydroguaiaretic acid,1,500-38-9,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,NORDIHYDROGUAIARETIC ACID,4534
NP1,1,,C1CN(CCN1CC2=CNC3=CC=CC=C32)C4=CC=C(C=C4)[N+](=O)[O-],3-{[4-(4-nitrophenyl)-1-piperazinyl]methyl}-1H-indole,2838266
Propranolol,1,525-66-6,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,propranolol,4946
Propyl gallate,1,121-79-9,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,propyl gallate,4947
Resveratrol,1,501-36-0,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,resveratrol,445154
Sulforaphane,1,4478-93-7,CS(=O)CCCCN=C=S,sulforaphane,5350
Thioflavin T,1,2390-54-7,CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C.[Cl-],Thioflavin T,16953
Urolithin a,1,1143-70-0,C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O,urolithin A,5488186
Alpha lipoic acid,1,1077-28-7,C1CSSC1CCCCC(=O)O,thioctic acid,864
Berberine,1,2086-83-1,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,berberine,2353
Bromocriptine,1,25614-03-3,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,bromocriptine,31101
Coumarin 478,1,41175-45-5,C1CC2=C(C1)C(=O)OC3=C2C=C4CCCN5C4=C3CCC5,Coumarin 106,100336
Echinatin,1,34221-41-5,COC1=C(C=CC(=C1)O)/C=C/C(=O)C2=CC=C(C=C2)O,Echinatin,6442675
Fisetin,1,528-48-3,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,Fisetin,5281614
Fluspirilene,1,1841-19-6,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Fluspirilene,3396
Rapamycin,1,53123-88-9,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,rapamycin,5284616
Sitagliptin,1,486460-32-6,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,Sitagliptin,4369359
17-Alpha estradiol,1,57-91-0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O,17alpha-Estradiol,68570
Obeticholic acid,1,459789-99-2,CC[C@@H]1[C@@H]2C[C@@H](CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3[C@@H]1O)CC[C@@H]4[C@H](C)CCC(=O)O)C)C)O,Obeticholic acid,447715
Ritonavir,1,155213-67-5,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,ritonavir,392622
Aloin,1,1415-73-2,C1=CC2=C(C(=C1)O)C(=O)C3=C([C@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C=C(C=C3O)CO,Aloin A,12305761
Alpha mangostin,1,6147/11/1,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,alpha-Mangostin,5281650
Arecoline,1,63-75-2,CN1CCC=C(C1)C(=O)OC,arecoline,2230
Aspirin,1,50-78-2,CC(=O)OC1=CC=CC=C1C(=O)O,aspirin,2244
Bakuchiol,1,10309-37-2,CC(=CCC[C@@](C)(C=C)/C=C/C1=CC=C(C=C1)O)C,Bakuchiol,5468522
Beta GPA,1,353-09-3,C(CN=C(N)N)C(=O)O,3-Guanidinopropionic acid,67701
Bortezomib,1,179324-69-7,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,Bortezomib,387447
Cinnarizine,1,298-57-7,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,cinnarizine,1547484
Curcumin,1,458-37-7,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,curcumin,969516
Dapagliflozin,1,461432-26-8,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl,Dapagliflozin,9887712
Dasatinib,1,302962-49-8,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,Dasatinib,3062316
AZD7545,0,252017-04-2,C[C@@](C(=O)NC1=C(C=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)N(C)C)Cl)(C(F)(F)F)O,"4-[(3-Chloro-4-{[(2r)-3,3,3-Trifluoro-2-Hydroxy-2-Methylpropanoyl]amino}phenyl)sulfonyl]-N,N-Dimethylbenzamide",16741245
Aldosterone,0,52-39-1,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O,ALDOSTERONE,5839
Diuron,0,330-54-1,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,diuron,3120
Emapunil,0,226954-04-7,CCN(CC1=CC=CC=C1)C(=O)CN2C3=NC(=NC=C3N(C2=O)C)C4=CC=CC=C4,Emapunil,6433109
Erlotinib,0,183321-74-6,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,Erlotinib,176870
