Compound,Life_extended,CAS Number,SMILES,PubChem_Name,PubChem_CID
All-trans retinoic acid,1,302-79-4,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",444795.0
Alpha ketoglutarate,1,328-50-7,C(CC(=O)O)C(=O)C(=O)O,2-oxopentanedioic acid,51.0
Bromopyruvate,1,1113-59-3,C(C(=O)C(=O)O)Br,3-bromo-2-oxopropanoic acid,70684.0
Gold sodium thiomalate,1,12244-57-4,C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+],disodium;gold(1+);2-sulfidobutanedioate,6093241.0
Green tea extract,1,84650-60-2,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,"[5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate",1287.0
Metformin,1,657-24-9,CN(C)C(=N)N=C(N)N,"3-(diaminomethylidene)-1,1-dimethylguanidine",4091.0
Nordihydroguaiaretic acid,1,500-38-9,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,"4-[4-(3,4-dihydroxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol",4534.0
NP1,1,,C1CN(CCN1CC2=CNC3=CC=CC=C32)C4=CC=C(C=C4)[N+](=O)[O-],3-[[4-(4-nitrophenyl)piperazin-1-yl]methyl]-1H-indole,2838266.0
Propranolol,1,525-66-6,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol,4946.0
Propyl gallate,1,121-79-9,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,"propyl 3,4,5-trihydroxybenzoate",4947.0
Resveratrol,1,501-36-0,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",445154.0
Sulforaphane,1,4478-93-7,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinylbutane,5350.0
Thioflavin T,1,2390-54-7,CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C.[Cl-],"4-(3,6-dimethyl-1,3-benzothiazol-3-ium-2-yl)-N,N-dimethylaniline;chloride",16953.0
Urolithin a,1,1143-70-0,C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O,"3,8-dihydroxybenzo[c]chromen-6-one",5488186.0
Alpha lipoic acid,1,1077-28-7,C1CSSC1CCCCC(=O)O,5-(dithiolan-3-yl)pentanoic acid,864.0
Berberine,1,2086-83-1,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,"16,17-dimethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene",2353.0
